conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;
1964255451295732105,Sat Sep 06 13:29:33 +0000 2025,1,@sicupuh @vivi3284 Ini problemnya. Ga ada bedanya sama jaman Pakde dulu. Kl dulu proyek yg dipaksakan IKN sama Whoosh kalo sekarang KMP sama MBG. Sama2 mercusuar ga penting,1964320064800510481,,sicupuh,in,,0,0,0,https://x.com/undefined/status/1964320064800510481,42011653,;;;;
1964318679232835746,Sat Sep 06 13:24:59 +0000 2025,0,Apa iyeeee doi kaga tau mbg gagal total? Apa iyeee doi beneran kaga tau chaosnya kemarin? Dan apa iyeee udah beberapa kali aksi masa turun dan doi beneran kaga tau?,1964318916169093354,,nugroooos,in,,0,0,0,https://x.com/undefined/status/1964318916169093354,439178001,;;;;
1964313760673239137,Sat Sep 06 13:23:10 +0000 2025,0,@monochrie Lanjut pengawasan MBG,1964318456817602919,,monochrie,in,,0,1,0,https://x.com/undefined/status/1964318456817602919,1532558785784729602,;;;;
1964116336566816843,Sat Sep 06 13:19:05 +0000 2025,0,@RiyanRiyan52986 @ARSIPAJA Wah Pak Mendikdasmen 4.000 siswa keracunan cuma dianggap tidak berarti program MBG dihentikan? Hebat sekali prioritasnya bikin iri. Mungkin besok tambah racun biar lebih bergizi? ,1964317429691248721,,RiyanRiyan52986,in,,0,0,0,https://x.com/undefined/status/1964317429691248721,1720665183188922368,;;;;
1964116336566816843,Sat Sep 06 13:17:03 +0000 2025,0,@bertistuta @ARSIPAJA Ya kan fokus utama MBG kan bukan anak anak dan kesehatan gizinya... yang tau tau ajalah. ,1964316920024297677,,bertistuta,in,,0,0,0,https://x.com/undefined/status/1964316920024297677,48563472,;;;;
1964316482327744843,Sat Sep 06 13:15:19 +0000 2025,0,Yayasan Hans Satya Dharma Bangun Dapur MBG Mandiri di Brebes Dukung Program Makan Bergizi Gratis Selengkapnya https://t.co/gPxQlQ0UIh,1964316482327744843,,,in,,0,0,0,https://x.com/undefined/status/1964316482327744843,896212214629097474,;;;;
1964299751165481084,Sat Sep 06 13:13:29 +0000 2025,3,@txtdrimedia Harus seberapa banyak reaksi penolakan MBG? Harus seberapa banyak siswa yg keracunan? Harus seberapa bnyk belatung yg terkumpul? Haruskah jatuh korban nyawa u/ yg kesekian kali dr rakyat yg mengkritik kebijakan pemerintah Jgn tutup mata telinga dan nurani‼️,1964316022879736054,,txtdrimedia,in,,0,1,0,https://x.com/undefined/status/1964316022879736054,1735212687066615808,;;;;
1964315780687843638,Sat Sep 06 13:12:31 +0000 2025,2,Anggaran Jumbo Makan Bergizi Gratis Rawan Dikorupsi @prabowo @gibran_tweet @kempanrb @BPOM_RI #prabowo #gibran #badangizinasional #kemenpanrb #bpom #mbg #MakanBergiziGratis #korupsi #investigasi https://t.co/6m3wJQYL4X https://t.co/e0LVx4SFFd,1964315780687843638,https://pbs.twimg.com/media/G0KmdE5X0AA3PA8.png,,in,,0,0,1,https://x.com/undefined/status/1964315780687843638,1899398008418217984,;;;;
1964249566150054200,Sat Sep 06 13:10:19 +0000 2025,0,@TirtoID STOP MBG,1964315226217517247,,TirtoID,in,,0,0,0,https://x.com/undefined/status/1964315226217517247,3022369825,;;;;
1964314153713356811,Sat Sep 06 13:06:04 +0000 2025,0,Di Bali MBG itu singkatan dari Mall Bali Galeria.,1964314153713356811,,,in,,0,0,0,https://x.com/undefined/status/1964314153713356811,236639447,;;;;
